"Socken","Sock_kod","Utskick_Klart_Vatten","utskicksordning","Datumutskick","distrikt"
"AKEBÄCK","34","genomgångna socknar",0,20160915,"mellersta"
"ALA","43","genomgångna socknar",5,20111116,"mellersta"
"ALSKOG","66","ej utskick",0,,"mellersta"
"ALVA","78","genomgångna socknar",2,20101011,"södra"
"ANGA","45","genomgångna socknar",6,20120413,"mellersta"
"ARDRE","65","ej utskick",0,,"mellersta"
"ATLINGBO","51","genomgångna socknar",0,20160915,"mellersta"
"BARA","26","ej utskick",0,,"mellersta"
"BARLINGBO","30","genomgångna socknar",3,20110202,"mellersta"
"BJÖRKE","36","ej utskick",0,,"mellersta"
"BOGE","03","genomgångna socknar",4,20110610,"norra"
"BRO","19","utskick 2017-10-12",0,,"mellersta"
"BUNGE","05","ej utskick",0,,"norra"
"BURS","72","ej utskick",0,,"södra"
"BUTTLE","42","genomgångna socknar",5,20111116,"mellersta"
"BÄL","12","genomgångna socknar",4,20110610,"norra"
"DALHEM","29","ej utskick",0,,"mellersta"
"EKE","85","genomgångna socknar",2,20101011,"södra"
"EKEBY","22","genomgångna socknar",3,20110202,"mellersta"
"EKSTA","63","ej utskick",0,,"södra"
"ENDRE","31","genomgångna socknar",3,20110202,"mellersta"
"ESKELHEM","55","ej utskick",0,,"mellersta"
"ETELHEM","68","genomgångna socknar",11,20140520,"mellersta"
"FARDHEM","79","genomgångna socknar",9,20130405,"södra"
"FIDE","88","ej utskick",0,,"södra"
"FLERINGE","07","ej utskick",0,,"norra"
"FOLE","21","utskick 2017-10-12",0,,"mellersta"
"FOLLINGBO","33","ej utskick",0,,"mellersta"
"FRÖJEL","62","ej utskick",0,,"södra"
"FÅRÖ","04","ej utskick",0,,"norra"
"GAMMELGARN","46","genomgångna socknar",12,20150528,"mellersta"
"GANTHEM","28","ej utskick",0,,"mellersta"
"GARDE","67","genomgångna socknar",11,20140520,"mellersta"
"GERUM","80","genomgångna socknar",9,20130405,"södra"
"GOTHEM","25","genomgångna socknar",6,20120413,"mellersta"
"GRÖTLINGBO","86","ej utskick",0,,"södra"
"GULDRUPE","41","genomgångna socknar",5,20111116,"mellersta"
"HABLINGBO","83","ej utskick",0,,"södra"
"HALL","08","genomgångna socknar",1,20100512,"norra"
"HALLA","38","ej utskick",0,,"mellersta"
"HAMRA","90","genomgångna socknar",0,20160915,"södra"
"HANGVAR","09","genomgångna socknar",1,20100512,"norra"
"HAVDHEM","84","ej utskick",0,,"södra"
"HEJDE","60","genomgångna socknar",11,20140520,"mellersta"
"HEJDEBY","32","ej utskick",0,,"mellersta"
"HEJNUM","13","genomgångna socknar",4,20110610,"norra"
"HELLVI","11","utskick 2017-10-12",0,,"norra"
"HEMSE","76","ej utskick",0,,"södra"
"HOGRÄN","52","genomgångna socknar",8,20121228,"mellersta"
"HÖRSNE","26","ej utskick",0,,"mellersta"
"KLINTE","61","ej utskick",0,,"södra"
"KRÄKLINGBO","44","ej utskick",0,,"mellersta"
"KÄLLUNGE","23","ej utskick",0,,"mellersta"
"LAU","70","ej utskick",0,,"södra"
"LEVIDE","81","genomgångna socknar",9,20130405,"södra"
"LINDE","75","genomgångna socknar",9,20130405,"södra"
"LOJSTA","74","genomgångna socknar",9,20130405,"södra"
"LOKRUME","20","ej utskick",0,,"norra"
"LUMMELUNDA","16","genomgångna socknar",12,20150528,"norra"
"LYE","69","genomgångna socknar",9,20130405,"södra"
"LÄRBRO","10","genomgångna socknar",10,20131115,"norra"
"MARTEBO","17","ej utskick",0,,"norra"
"MÄSTERBY","58","genomgångna socknar",11,20140520,"mellersta"
"NORRLANDA","27","ej utskick",0,,"mellersta"
"NÄR","71","ej utskick",0,,"södra"
"NÄS","87","genomgångna socknar",7,20120924,"södra"
"OTHEM","02","genomgångna socknar",10,20131115,"norra"
"ROMA","35","ej utskick",0,,"mellersta"
"RONE","77","genomgångna socknar",2,20101011,"södra"
"RUTE","06","utskick 2017-10-12",0,,"norra"
"SANDA","57","ej utskick",0,,"mellersta"
"SILTE","82","genomgångna socknar",7,20120924,"södra"
"SJONHEM","39","ej utskick",0,,"mellersta"
"SPROGE","64","genomgångna socknar",7,20120924,"södra"
"STENKUMLA","53","utskick 2017-10-12",0,,"mellersta"
"STENKYRKA","15","ej utskick",0,,"norra"
"STÅNGA","73","genomgångna socknar",9,20130405,"södra"
"SUNDRE","92","genomgångna socknar",0,20160915,"södra"
"TINGSTÄDE","14","genomgångna socknar",10,20131115,"norra"
"TOFTA","54","ej utskick",0,,"mellersta"
"TRÄKUMLA","49","ej utskick",0,,"mellersta"
"VALL","50","genomgångna socknar",8,20121228,"mellersta"
"VALLSTENA","24","ej utskick",0,,"mellersta"
"VAMLINGBO","91","genomgångna socknar",0,20160915,"södra"
"VIKLAU","37","genomgångna socknar",0,20160915,"mellersta"
"VISBY","01","ej utskick",0,,"mellersta"
"VÄNGE","40","genomgångna socknar",5,20111116,"mellersta"
"VÄSKINDE","18","genomgångna socknar",8,20121228,"mellersta"
"VÄSTERGARN","56","ej utskick",0,,"mellersta"
"VÄSTERHEJDE","48","ej utskick",0,,"mellersta"
"VÄTE","59","genomgångna socknar",11,20140520,"mellersta"
"ÖJA","89","ej utskick",0,,"södra"
"ÖSTERGARN","47","genomgångna socknar",12,20150528,"mellersta"
